theme,url,img,lines,author
PERSEVERANCE,/inspirational-quotes/4746-it-always-seems-impossible-until-its-done,https://assets.passiton.com/quotes/quote_artwork/4746/medium/20240925_wednesday_quote.jpg,It always seems impossible until its done.,0x00005631cb702260
PERSEVERANCE,/inspirational-quotes/8105-great-things-come-from-hard-work-and,https://assets.passiton.com/quotes/quote_artwork/8105/medium/20240924_tuesday_quote.jpg,Great things come from hard work and perseverance. No excuses.,0x00005631cb6e53b8
PERSEVERANCE,/inspirational-quotes/4076-there-are-no-shortcuts-to-any-place-worth-going,https://assets.passiton.com/quotes/quote_artwork/4076/medium/20240923_monday_quote.jpg,There are no shortcuts to any place worth going.,0x00005631cb75cad0
LEARNING,/inspirational-quotes/3030-im-not-afraid-of-storms-for-im-learning-to,https://assets.passiton.com/quotes/quote_artwork/3030/medium/20240920_friday_quote.jpg,"I'm not afraid of storms, for I'm learning to sail my ship.",0x00005631cb73d478
LEARNING,/inspirational-quotes/7672-an-investment-in-knowledge-always-pays-the-best,https://assets.passiton.com/quotes/quote_artwork/7672/medium/20240919_thursday_quote.jpg,An investment in knowledge always pays the best interest.,0x00005631cb7bf518
LEARNING,/inspirational-quotes/8343-a-love-of-learning-has-a-lot-to-do-with,https://assets.passiton.com/quotes/quote_artwork/8343/medium/20240918_wednesday_quote.jpg,A love of learning has a lot to do with learning that we are loved.,0x00005631cb7a80e8
LEARNING,/inspirational-quotes/7913-the-only-real-mistake-is-the-one-from-which-we,https://assets.passiton.com/quotes/quote_artwork/7913/medium/20240917_tuesday_quote.jpg,The only real mistake is the one from which we learn nothing.,0x00005631cb76d5d8
LEARNING,/inspirational-quotes/3920-learning-is-a-treasure-that-will-follow-its,https://assets.passiton.com/quotes/quote_artwork/3920/medium/20240916_monday_quote.jpg,Learning is a treasure that will follow its owner everywhere.,0x00005631cb807f70
BELIEVE IN YOURSELF,/inspirational-quotes/8359-believe-in-yourself-and-go-for-it,https://assets.passiton.com/quotes/quote_artwork/8359/medium/20240913_friday_quote.jpg,Believe in yourself and go for it.,0x00005631cb7d82e8
BELIEVE IN YOURSELF,/inspirational-quotes/7676-i-don-t-like-to-gamble-but-if-there-s-one,https://assets.passiton.com/quotes/quote_artwork/7676/medium/20240912_thursday_quote.jpg,"I don’t like to gamble, but if there’s one thing I’m willing to bet on, it’s myself.",0x00005631cb857520
BELIEVE IN YOURSELF,/inspirational-quotes/8271-magic-is-believing-in-yourself-if-you-can-do,https://assets.passiton.com/quotes/quote_artwork/8271/medium/20240911_wednesday_quote.jpg,"Magic is believing in yourself, if you can do that, you can make anything happen.",0x00005631cb83e7f0
BELIEVE IN YOURSELF,/inspirational-quotes/6966-it-is-our-privilege-and-our-adventure-to,https://assets.passiton.com/quotes/quote_artwork/6966/medium/20240910_tuesday_quote.jpg,It is our privilege and our adventure to discover our own special light.,0x00005631cb8bd5f0
BELIEVE IN YOURSELF,/inspirational-quotes/7677-always-be-yourself-and-have-faith-in-yourself,https://assets.passiton.com/quotes/quote_artwork/7677/medium/20240909_monday_quote.jpg,Always be yourself and have faith in yourself.,0x00005631cb89f438
HARD WORK,/inspirational-quotes/4704-work-hard-be-kind-and-amazing-things-will,https://assets.passiton.com/quotes/quote_artwork/4704/medium/20240906_friday_quote.jpg,"Work hard, be kind, and amazing things will happen.",0x00005631cb879b48
HARD WORK,/inspirational-quotes/8378-doing-the-best-at-this-moment-puts-you-in-the,https://assets.passiton.com/quotes/quote_artwork/8378/medium/20240905_thursday_quote.jpg,Doing the best at this moment puts you in the best place for the next moment.,0x00005631cb8f4398
HARD WORK,/inspirational-quotes/3549-if-it-wasnt-hard-everyone-would-do-it-its-the,https://assets.passiton.com/quotes/quote_artwork/3549/medium/20240904_wednesday_quote.jpg,"If it wasn't hard, everyone would do it. It's the hard that makes it great.",0x00005631cb8cd888
HARD WORK,/inspirational-quotes/7750-a-dream-doesnt-become-reality-through-magic-it,https://assets.passiton.com/quotes/quote_artwork/7750/medium/20240903_tuesday_quote.jpg,"A dream doesn't become reality through magic; it takes sweat, determination, and hard work.",0x00005631cb946468
